data_estacao,id,hora_medicao,uf_medicao,estacao_nome,estacao_cod,temp_hora_celsius,temp_media_dia_celsius,maior_temp_dia_celsius,menor_temp_dia_celsius,precipitacao_media_dia_mm,umidade_relativa_ar_media_dia_procentagem,vento_velocidade_media_dia_m_por_s,vento_rajada_media_da_max_dia_m_por_s,latitude_medicao,longitude_medicao
2020-03-22,2403,00:00,ES,VITORIA,A612,25,"21,95","33,4","-41,4","0,35","81,77","1,86","4,67",-20.270833,-40.305833
2020-10-12,7299,00:00,ES,VITORIA,A612,"18,1","21,53",37,"-39,6","0,02","65,68","2,03","4,86",-20.270833,-40.305833
2020-07-26,5427,00:00,ES,VITORIA,A612,NULL,"19,11","31,7","-38,3","0,01","68,54","1,97","4,76",-20.270833,-40.305833
2020-06-09,4299,00:00,ES,VITORIA,A612,NULL,"20,72","33,6",-45,"0,03","75,82","1,21","3,13",-20.270833,-40.305833
2021-03-30,1338,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"24,12","37,5","-41,2","0,28","70,31","1,54","4,28",-20.909892,-47.114259
2020-01-03,507,00:00,ES,VITORIA,A612,"23,1","22,69","35,3","-17,5","0,71","84,07","1,72","4,61",-20.270833,-40.305833
2020-01-05,555,00:00,ES,VITORIA,A612,"25,3","22,93","35,2","-16,3","0,53","83,57","1,79","4,8",-20.270833,-40.305833
2020-01-07,603,00:00,ES,VITORIA,A612,"26,7","25,09","37,7","-16,7","0,21","77,08","1,67","4,45",-20.270833,-40.305833
2020-02-08,1371,00:00,ES,VITORIA,A612,"24,4","23,05","34,9","-20,1","0,17","78,99",2,"5,04",-20.270833,-40.305833
2021-03-05,738,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"23,32","38,1","-28,7","0,26","73,89","1,8","4,73",-20.909892,-47.114259
2021-03-18,1050,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"23,44","36,5","-30,9","0,12","73,27","1,64","4,2",-20.909892,-47.114259
2021-04-16,1746,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"20,81","33,5","-41,2","0,02","68,61","1,69","4,22",-20.909892,-47.114259
2020-03-08,2067,00:00,ES,VITORIA,A612,"20,8","21,55","33,3",-33,"0,24","77,08","1,61","4,14",-20.270833,-40.305833
2020-05-04,3435,00:00,ES,VITORIA,A612,23,"19,07","31,1","-38,5",0,"70,31","1,63","4,01",-20.270833,-40.305833
2021-02-20,426,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"23,67","35,4","-31,5","0,33","77,43","1,64","4,29",-20.909892,-47.114259
2020-11-18,8187,00:00,ES,VITORIA,A612,"25,9","22,32","34,3",-17,"0,57","81,43","1,82","4,92",-20.270833,-40.305833
2020-12-19,147,00:00,MG,BURITIS,A544,"21,9","24,89","37,1","-15,8","0,16","73,13","1,69","4,56",-15.524167,-46.435556
2021-01-09,2298,00:00,SP,BRAGANCA PAULISTA,A744,"21,9","24,94","37,2","-19,3","0,22","76,3","1,45","3,89",-22.951944,-46.530556
2020-03-30,2595,00:00,ES,VITORIA,A612,NULL,"22,91","33,7","-35,2","0,28","79,66","1,5","3,8",-20.270833,-40.305833
2020-06-22,4611,00:00,ES,VITORIA,A612,NULL,"19,21","33,5","-40,1",0,"66,57","1,29","3,26",-20.270833,-40.305833
2021-04-13,1674,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"21,94","35,8","-42,3","0,11","68,72","1,66","4,25",-20.909892,-47.114259
2021-04-17,1770,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"20,78","35,7","-41,3","0,1","70,97","1,52","3,81",-20.909892,-47.114259
2020-04-03,2691,00:00,ES,VITORIA,A612,"25,6","24,46","37,8",-41,"0,1",74,"2,17","5,45",-20.270833,-40.305833
2020-07-16,5187,00:00,ES,VITORIA,A612,NULL,"18,22","31,7","-41,2","0,04","73,09","2,08","4,98",-20.270833,-40.305833
2020-07-25,5403,00:00,ES,VITORIA,A612,NULL,"19,78","33,7","-41,5",0,"63,54","1,71","4,34",-20.270833,-40.305833
2020-04-27,3267,00:00,ES,VITORIA,A612,NULL,"20,61","31,5","-27,3","0,01","71,1","1,96","4,67",-20.270833,-40.305833
2020-11-04,7851,00:00,ES,VITORIA,A612,"20,1","19,79","33,2","-27,4","0,2","72,71","1,66","4,36",-20.270833,-40.305833
2021-01-01,2106,00:00,SP,BRAGANCA PAULISTA,A744,"20,7","23,64","36,8","-19,8","0,27","74,2","1,4","3,9",-22.951944,-46.530556
2021-03-08,810,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"22,17","36,7","-29,5","0,46",83,"1,29","3,64",-20.909892,-47.114259
2020-08-15,5907,00:00,ES,VITORIA,A612,NULL,"21,86","37,4","-46,5","0,02","61,37","2,16","5,38",-20.270833,-40.305833
2020-12-15,51,00:00,MG,BURITIS,A544,"21,8","24,66","36,6","-12,3","0,13","69,06","1,66","4,37",-15.524167,-46.435556
2020-09-11,6555,00:00,ES,VITORIA,A612,"22,5","23,52","38,8","-47,2",0,"52,13","1,85","4,55",-20.270833,-40.305833
2021-04-06,1506,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"21,32","34,5","-43,2","0,12","74,99","1,76","4,32",-20.909892,-47.114259
2020-01-06,579,00:00,ES,VITORIA,A612,"25,6","23,93","36,2","-17,9","0,26","80,67","1,78","4,77",-20.270833,-40.305833
2020-02-20,1659,00:00,ES,VITORIA,A612,"25,7","24,81","37,5","-24,7","0,17","74,99","1,7","4,36",-20.270833,-40.305833
2020-04-15,2979,00:00,ES,VITORIA,A612,"23,1","20,97","33,4","-34,9","0,08","79,34","1,42","3,82",-20.270833,-40.305833
2020-05-11,3603,00:00,ES,VITORIA,A612,"20,5","18,16","31,3","-44,6",0,"68,18","1,64","4,02",-20.270833,-40.305833
